找不到  ： stx: CUnit-2.1.3-8.el7.x86_64.rpm 
找不到  ： stx: CUnit-devel-2.1.3-8.el7.x86_64.rpm 
版本一致：stx: dracut-network-033-554.el7.x86_64.rpm               ---  centos: dracut-network-033-554.el7.aarch64.rpm
找不到  ： stx: dulwich-core-0.18.4-1.el7.x86_64.rpm 
版本一致：stx: dwz-0.11-3.el7.x86_64.rpm                           ---  centos: dwz-0.11-3.el7.aarch64.rpm
版本一致：stx: dyninst-9.3.1-2.el7.x86_64.rpm                      ---  centos: dyninst-9.3.1-2.el7.aarch64.rpm
版本一致：stx: e2fsprogs-1.42.9-13.el7.x86_64.rpm                  ---  centos: e2fsprogs-1.42.9-13.el7.aarch64.rpm
版本一致：stx: e2fsprogs-devel-1.42.9-13.el7.x86_64.rpm            ---  centos: e2fsprogs-devel-1.42.9-13.el7.aarch64.rpm
版本一致：stx: e2fsprogs-libs-1.42.9-13.el7.x86_64.rpm             ---  centos: e2fsprogs-libs-1.42.9-13.el7.aarch64.rpm
版本一致：stx: ebtables-2.0.10-16.el7.x86_64.rpm                   ---  centos: ebtables-2.0.10-16.el7.aarch64.rpm
版本一致：stx: ed-1.9-4.el7.x86_64.rpm                             ---  centos: ed-1.9-4.el7.aarch64.rpm
版本一致：stx: efibootmgr-17-2.el7.x86_64.rpm                      ---  centos: efibootmgr-17-2.el7.aarch64.rpm
版本一致：stx: efivar-devel-36-11.el7.x86_64.rpm                   ---  centos: efivar-devel-36-11.el7.aarch64.rpm
版本一致：stx: efivar-libs-36-11.el7.x86_64.rpm                    ---  centos: efivar-libs-36-11.el7.aarch64.rpm
版本一致：stx: elfutils-0.172-2.el7.x86_64.rpm                     ---  centos: elfutils-0.172-2.el7.aarch64.rpm
版本一致：stx: elfutils-devel-0.172-2.el7.x86_64.rpm               ---  centos: elfutils-devel-0.172-2.el7.aarch64.rpm
版本一致：stx: elfutils-libelf-0.172-2.el7.x86_64.rpm              ---  centos: elfutils-libelf-0.172-2.el7.aarch64.rpm
版本一致：stx: elfutils-libelf-devel-0.172-2.el7.x86_64.rpm        ---  centos: elfutils-libelf-devel-0.172-2.el7.aarch64.rpm
版本一致：stx: elfutils-libs-0.172-2.el7.x86_64.rpm                ---  centos: elfutils-libs-0.172-2.el7.aarch64.rpm
版本一致：stx: elinks-0.12-0.37.pre6.el7.x86_64.rpm                ---  centos: elinks-0.12-0.37.pre6.el7.aarch64.rpm
版本一致：stx: environment-modules-3.2.10-10.el7.x86_64.rpm        ---  centos: environment-modules-3.2.10-10.el7.aarch64.rpm
找不到  ： stx: erlang-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-asn1-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-compiler-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-cosEvent-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-cosEventDomain-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-cosFileTransfer-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-cosNotification-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-cosProperty-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-cosTime-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-cosTransactions-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-crypto-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-diameter-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-edoc-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-eldap-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-erl_docgen-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-erl_interface-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-erts-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-eunit-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-gs-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-hipe-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-ic-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-inets-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-jinterface-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-kernel-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-mnesia-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-odbc-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-orber-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-os_mon-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-ose-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-otp_mibs-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-parsetools-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-percept-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-public_key-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-runtime_tools-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-sasl-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-sd_notify-0.1-9.el7.x86_64.rpm 
找不到  ： stx: erlang-snmp-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-ssh-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-ssl-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-stdlib-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-syntax_tools-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-tools-18.3.4.4-2.el7.x86_64.rpm 
找不到  ： stx: erlang-xmerl-18.3.4.4-2.el7.x86_64.rpm 
版本一致：stx: ethtool-4.8-9.el7.x86_64.rpm                        ---  centos: ethtool-4.8-9.el7.aarch64.rpm
找不到  ： stx: eventlog-0.2.13-4.el7.x86_64.rpm 
找不到  ： stx: eventlog-devel-0.2.13-4.el7.x86_64.rpm 
版本一致：stx: expat-2.1.0-10.el7_3.x86_64.rpm                     ---  centos: expat-2.1.0-10.el7_3.aarch64.rpm
版本一致：stx: expat-devel-2.1.0-10.el7_3.x86_64.rpm               ---  centos: expat-devel-2.1.0-10.el7_3.aarch64.rpm
版本一致：stx: expect-5.45-14.el7_1.x86_64.rpm                     ---  centos: expect-5.45-14.el7.aarch64.rpm
找不到  ： stx: fcgi-2.4.0-25.el7.x86_64.rpm 
